id,place,place_name,phase,phase_years,phase_title,name_en,name_fr,source_ref,source_generation,canonical,styles,style_label,tenure_plan,storeys,roof_form,roof_pitch_deg,window_proportion,principal_cladding,roofing,garage,lot_width_min_m,lot_width_max_m,setback_front_m,setback_side_m,front_yard_green_pct,siting_landscape,massing,articulation,openings,materials,conservation,models_observed,phase_confidence,sectors,tid,fiche_id,courant,quartiers,count_in_place,is_courant,is_residential,source_url,blurb_en,origin_en,photo_file,photo_credit
quebec.palladien,quebec,Québec City,p2,1760 – 1840,"British regime — transition, Palladian and neoclassical",Palladian house (residential Palladian),Palladien,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=201","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",symmetric-brick-3-5-bay-2st,palladien,,single-family,2–2.5,gabled-or-hipped,38,vertical,cut-stone; roughcast; stucco,sheet-metal-traditional,,,,,,,"Introduced in England, then appearing in Lower Canada from the end of the 18th century until about 1830. | A period marked by the new rulers' wish to signal their presence at Québec: buildings more representative of the British order were transformed or rebuilt, and well-to-do houses put up to match.","Composition drawn from English classicism, itself drawn from Italian Renaissance architecture and reinterpreting the forms of Antiquity: a search for symmetry and a tripartite façade. | Two to three occupied levels (two to two and a half storeys). | Straight two- or four-slope roof; medium pitch, between 30° and 45°; traditional sheet-metal covering. | Central projections: avant-corps and portal; central secondary body: porch. | Projections: chimneys rising from the roof or set within the gable walls — distributed symmetrically, often one at each end. | Handled with restraint, the residential architecture takes up only the broad principles of the Palladian style.","Classical ornament: columns, cornices, pediments and pilasters. | A plain composition in the Palladian style. | Projecting portals decorated with columns or pilasters carrying a cornice and a triangular pediment, and chambranles.","Rectangular and round-arched openings; central door fitted with a portal. | Casements with small or large panes, sash windows with small panes, Palladian (Serlian) windows and oculi. | Cellar lights. | The Serlian or Palladian window — three lights, the centre one crowned with a semicircular head — is another marked trait of the style.","Walls of stone masonry, generally ashlar; roughcast or white stucco render. | Stone foundation raised above the ground. | The walls are of smooth-finished ashlar or covered in roughcast.",,,verified,SP-VQ; SP-SIL,201,,Influences britanniques,,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=201,"English classicism arriving with the new rulers, and pulled back hard for domestic use: two to three levels, a rigorously symmetrical front with a central door, a projecting pedimented centre making the façade tripartite, and chimneys placed symmetrically at the ends. The Serlian window is the giveaway.","The Palladian style belongs to English classicism, a movement current in England from the 17th century, drawing on Italian Renaissance architecture and on the writings and buildings of Andrea Palladio (1508–1580). Introduced first into England, it appeared in Lower Canada from the end of the 18th century until about 1830, in a period marked by the new rulers' wish to signal their presence at Québec — buildings more representative of the British order were transformed or rebuilt, and well-to-do houses erected. Residential architecture took up only the broad principles.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.maison-neogothique,quebec,Québec City,p3,1820 – 1880,Regency villégiature and the Québécois synthesis,"Neo-Gothic house, villa or cottage",Néogothique,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=405","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",detached-cottage-steep-gable,neogothique,,single-family,1.5–2.5,gabled,45,vertical,clay-brick; wood-clapboard; wood-shingle,sheet-metal-traditional,,,,,,,"Present at Québec between 1830 and 1880 for the style at large, and observable until about 1920 for residential buildings. | The residential examples are mostly villas or cottages set on the edge of the urban centre.","Composition: a search for symmetry. | Rectangular or L-shaped plan; irregular ground plan in the residential examples. | Two to three occupied levels (one and a half to two and a half storeys). | Straight two-slope roof; medium pitch, about 45°. | Projection: gallery; central secondary body: porch. | The aesthetic form is expressed through the medieval or picturesque silhouette of the building.","Ornaments: finials, cut-out woodwork and cornice returns. | A new ornamental vocabulary: a central gable dormer on the front, pinnacles, cut-out wood motifs running along the cornice, and heavy roll or 'chapeau de gendarme' mouldings. | Structural elements used to essentially decorative ends.","Openings fitted with chambranles, roll mouldings and 'chapeau de gendarme' heads. | Windows, with or without glazing bars forming diamonds, sashes with glazing bars or with iron bars. | Central gable dormer. | Pointed (ogee) arched openings.","Walls: brick, wood board or wood shingle cladding. | The walls and the chimney stacks are of brick, while the windows may carry diamond-shaped panes.",,,verified,,405,,Influence des styles historiques,,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=405,"The domestic half of a style that mostly built churches: a villa or cottage on the edge of town with a central gable dormer over the front door, pointed-arch windows, diamond panes and cut-out wood running along the cornice — structure turned into decoration, which is what neo-Gothic mostly was.","Drawing on medieval architecture, the neo-Gothic style appeared in England about 1750, then spread through Europe before reaching North America; romantic spirits found in it an answer to the severity of neoclassical architecture. Present at Québec between 1830 and 1880, its popularity was short-lived: it quickly became the Protestant church's preferred choice, while Catholic communities moved away from it after the enthusiasm of the 1850s and 1860s. Compared with religious architecture, the style is observable at Québec until about 1920 for residential buildings — mostly villas or cottages set on the edge of the urban centre.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.maison-neoclassique-quebecoise,quebec,Québec City,p3,1820 – 1880,Regency villégiature and the Québécois synthesis,Québécois neoclassical house,Maison néoclassique québécoise,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=301","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",quebec-traditional-1-5st-gable,neoclassical-quebec,,single-family,1.5,gabled,45,vertical,wood-clapboard; wood-shingle; clay-brick,sheet-metal-traditional,,,,,,,"All through the 19th century it was built at Québec in rural and semi-urban settings, and in the faubourgs. | The house is raised well above ground level and frequently has, on its long axis, a summer kitchen reproducing the main body's characteristics at a smaller scale.","Composition: a search for symmetry; the type is seen as the vernacular house of Québécois residential architecture, and takes in several variants including the artisan's house with a shop at basement level. | Rectangular plan; variable volume. | Two occupied levels (one and a half storeys). | Two-slope roof with straight, but generally curved, eaves; medium pitch, about 45°; traditional sheet-metal covering. | Projections sheltered by the curved eaves or by an awning: perron and gallery; secondary bodies: lean-to, larder and dairy, but generally a summer kitchen. | The roof carries past the front and rear walls on curved bell-cast eaves that shelter a gallery laid out at the front; where the slopes are straight, a lean-to or awning often roofs the gallery instead.","Ornaments: brackets, lambrequins and corner boards. | The ornament stays sober, with corner boards and chambranles; cut-out woodwork can give the house a picturesque touch.","Openings fitted with chambranles; central door; gabled or pedimented dormers. | The attic is inhabited, as the presence of dormers shows.","Walls: brick cladding, but generally wood board or wood shingle. | Foundation raised above the ground. | Traditional sheet metal laid in battens, à la canadienne or pinched.",,,verified,,301,,Néoclassique québécois,,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=301,"The vernacular house of Québec, and the one the faubourg house is a stripped-down copy of: a storey and a half under a 45-degree roof whose bell-cast eaves sweep out to cover the front gallery, dormers in the attic, a summer kitchen trailing off the end, and corner boards for ornament.","Descended from the French regime, this house evolved under the English regime in contact with the neoclassical style. It is a freer construction answering specifically to functional, economic and climatic constraints according to where it was built and the social standing of its occupants, and so takes several variants: from the small stripped-down body of lodging it can become a more developed and ornamented village dwelling. All through the 19th century it was built at Québec in rural and semi-urban settings, and in the faubourgs.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.cottage-regency,quebec,Québec City,p3,1820 – 1880,Regency villégiature and the Québécois synthesis,Regency cottage,Cottage Regency,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=205","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",regency-cottage-hipped-veranda; detached-cottage-steep-gable,regency,,single-family,1–1.5,hipped,25,vertical,clay-brick; stone; wood,sheet-metal-traditional,,,,,,,"Layout: garden, quality of the landscaping, a wide expanse of ground and abundant vegetation. | At Québec, villégiature spread to the suburbs — Sillery, Beauport and Sainte-Foy — over the 19th century; Regency buildings appear mainly between 1820 and 1880 along the old routes such as the Grande Allée and the chemins Saint-Louis and Sainte-Foy. | Built on large properties still unoccupied or later subdivided, the building stands in communion with the setting it is placed in.","Composition with a search for symmetry while integrating the forms into the natural environment. | One to two occupied levels (one to one and a half storeys). | Square plan. | Four-slope roof; low pitch, under 30°; with curved eaves, though generally straight; traditional sheet-metal covering. | Projections: wrap-around gallery sheltered by the eaves, and chimneys rising from the roof. | A low, wide-spreading four-slope roof whose eaves are sometimes curved is what marks the type out above all.","Classical ornament: columns, cornices, pediments and pilasters. | The ornaments are a more or less simplified recollection of those of Greek and Roman temples.","Regular rectangular openings fitted with chambranles, surrounds and flat arches; central door with sidelight(s) and transom, and French windows. | Casements with small or large panes; hipped or gabled dormers. | Shed dormers. | The most usual window is the casement with large panes, which sometimes becomes a French window.","Walls: stone, brick or wood cladding. | Stone foundation barely raised above the ground.",,,verified,SP-SIL; SP-BEA,205,,Regency,Sillery; Beauport; Sainte-Foy; Grande Allée; chemin Saint-Louis,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=205,"A square one-storey cottage under a low four-slope roof whose eaves run out far enough to roof a veranda all the way round — the picturesque half of the Regency, built out along the Grande Allée and the chemins Saint-Louis and Sainte-Foy on grounds big enough to lay out a garden.","The Regency draws on two aesthetics at once: the neoclassical, based on a rigorous reading of classical models, and the picturesque, which seeks to fit irregular forms into the natural setting. Those principles went mostly into residential architecture on the edge of the urban centres. Large houses called villas were followed by more modest ones taking the look of cottages; introduced by the British, both were adopted by the English elite who wanted a house in the country. At Québec villégiature reached the suburbs of Sillery, Beauport and Sainte-Foy over the 19th century, and Regency buildings appear mainly between 1820 and 1880.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.villa-regency,quebec,Québec City,p3,1820 – 1880,Regency villégiature and the Québécois synthesis,Regency villa,Villa Regency,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=206","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",picturesque-villa-estate,regency,,single-family,2–2.5,hipped,25,vertical,clay-brick; stone; wood,sheet-metal-traditional,,,,,,,"Layout: garden, quality of the landscaping, a wide expanse of ground and abundant vegetation. | The building is set back from the road, on a cleared part of the ground, and the site is set off by landscaping, pavilions or fountains. | At Québec, villégiature spread to the suburbs — Sillery, Beauport and Sainte-Foy — over the 19th century; Regency buildings appear mainly between 1820 and 1880 along the old routes such as the Grande Allée and the chemins Saint-Louis and Sainte-Foy.","Composition drawn from the neoclassical aesthetic, with a search for symmetry and a rigorous reading of classical models, and from the picturesque, integrating the forms into the natural environment. | Composition: a well-to-do house with a front of three or five bays. | Square or rectangular plan; rectangular for the villa proper. | Two to three occupied levels (two to two and a half storeys). | Four-slope roof; low pitch, under 30°; traditional sheet-metal covering. Straight two-slope roof; medium pitch, between 30° and 45°. | Projections: gallery; central projections: avant-corps; secondary body: veranda. | A large gallery or a veranda across the front makes the link with the outdoors, while various annexes spread across the ground.","Classical ornament: columns, cornices, pediments and pilasters. | Ornaments: quoins, finials, cut-out woodwork and rooftop terraces. | The ornament is meant to be sober, using quoins, finials and chambranles.","Regular rectangular openings fitted with chambranles, surrounds and flat arches; central door with sidelight(s) and transom, and French windows. | Casements with small or large panes; hipped or gabled dormers.","Walls: stone, brick or wood cladding. | Stone foundation barely raised above the ground.",,,verified,SP-SIL; SP-BEA,206,,Regency,Sillery; Beauport; Sainte-Foy; Grande Allée; chemin Saint-Louis,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=206,"The town house moved out to the country: a square or rectangular block of two to three levels, three or five bays wide, under a low four-slope roof, set back from the road on cleared ground with a gallery or veranda across the front and the site dressed with planting, pavilions and fountains.","The Regency villa can be defined as a house transposed from the urban setting to the rural one. Its composition, from the classical repertoire, is turned toward rigour and symmetry, while the building still tries to establish a relation with its natural surroundings. The organisation of the property takes much the same shape from one villa to the next: the building stands back from the road on a cleared part of the ground, and the site is set off by landscaping, pavilions or fountains.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.maison-mansardee,quebec,Québec City,p4,1840 – 1890,The faubourgs and the great fires,Mansard-roofed house,Maison mansardée,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=402","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",mansard-house-2st,second-empire,,single-family,2–4,mansard,75,vertical,clay-brick; wood-clapboard; wood-shingle; asbestos-cement-shingle,sheet-metal-traditional,,,,,,,"It leaves its mark on the Québécois landscape between 1860 and 1920, in rural, semi-urban and urban settings alike. | At Québec this type densifies the built fabric of the faubourgs in particular, since a two-slope roof was often replaced by a lit attic that became a full living space. | In rural settings it is common to find a gallery laid out at the front and a summer kitchen at the side or rear of the main body.","Composition: simple, modest decoration, with or without symmetry, and a silhouette giving off a certain elegance but without the monumental character; a type able to densify the urban fabric and seen as the vernacular house of the Second Empire style. | Rectangular, square or L-shaped plan. | Mansard (broken) roof with straight or curved terrasson and brisis: two-slope, two-slope with half-hips, or four-slope. False-mansard roof with straight or curved brisis; low pitch for the terrasson, under 30°, and very steep for the brisis, over 75°; traditional sheet-metal covering. | Projections: gallery, wrapping or not, sheltered by the curved eave or by an awning, logettes, oriels, perron and fire-break walls; secondary bodies: summer kitchen and porch. | Two to four occupied levels; the brisis is pierced by dormers.","Ornaments: brackets, corbels, cut-out woodwork, lambrequins and corner boards. | The decorative repertoire, drawn from French classical eclecticism, stays simple and modest. | The roof edge may be dressed with a cornice, corbels or consoles.","Rectangular or arched openings picked out by chambranles. | Sash or casement windows divided into four or six panes. | The brisis is pierced by dormers, which light the attic storey.","Walls: brick, wood board, wood shingle or asbestos shingle cladding. | Roof covering of traditional sheet metal.",,,verified,SP-VQ,402,,Second Empire,,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=402,"The Second Empire without the monumentality: the same broken roof, the same dormers cut into a near-vertical brisis, but on a plain house, popularised through American plan catalogues. At Québec it is a densification device — swap a two-slope roof for a mansard and the attic becomes a whole extra floor.","The mansard or broken-roofed house can be understood as the vernacular version of the Second Empire style. Though it has neither its monumentality nor its presence, its silhouette gives off a certain elegance. It was popularised in the United States through architectural catalogues, in which the variations of pitch and the flaring of the roofs became regional particularities. It leaves its mark on the Québécois landscape between 1860 and 1920, in rural, semi-urban and urban settings, and at Québec it densifies the built fabric of the faubourgs in particular.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.maison-de-faubourg,quebec,Québec City,p4,1840 – 1890,The faubourgs and the great fires,Rudimentary faubourg house,Maison de faubourg,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=303","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",faubourg-house-1-1-5st,neoclassical-quebec; faubourg-vernacular,,row,1–1.5,gabled,50,vertical,wood-board-vertical; wood-clapboard; clay-brick; roughcast; stucco,sheet-metal-traditional,,,,,,,"Built outside the limits of the walled town, it spread widely at Québec through the faubourgs of Saint-Roch, Saint-Sauveur and Saint-Jean-Baptiste, which grew under demographic pressure from the middle of the 18th century. | Often party-wall, or set off from its neighbours by a narrow alley.","Composition: a simple, rudimentary house, with or without symmetry, party-wall or set off from its neighbours by a narrow alley; a type descended from the urban house of French inspiration and from the Québécois neoclassical house. | One to two occupied levels (one to one and a half storeys); following densification or a fire, the house may be rebuilt, enlarged, raised by one or two storeys, given dormers, or capped with a mansard roof. | Two-slope roof with shallow straight or curved eaves; steep pitch, over 45°; following the by-laws against fire, an eaveless roof. | The basic model has a ground floor under a two-slope roof, straight or curved, with a shallow eave.",Ornaments: corner boards. | The ornament stays limited to corner boards and chambranles.,"Few openings, fitted with chambranles: three at the front including the door at the end of the façade, and two at the rear; no dormer. | The gable walls usually stay blind.","Walls of pièce-sur-pièce timber; vertical or horizontal wood board cladding; following the by-laws against fire, walls clad in brick, roughcast or stucco. | Foundation barely visible or raised above the ground. | Roof covering of cedar shingle, board-and-batten or lapped board; following the by-laws against fire, traditional sheet metal.",,,verified,SP-VQ,303,,Néoclassique québécois,Saint-Roch; Saint-Sauveur; Saint-Jean-Baptiste,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=303,"The plainest house in the city and the one the fires rewrote: a storey or a storey and a half of pièce-sur-pièce timber under a steep two-slope roof, three openings at the front with the door pushed to one end, two at the back, blind gables, and corner boards for the whole of its ornament. After the fires the by-laws took away the boards and the shingles and gave it brick or roughcast and eaveless tin instead.","Set outside the limits of the walled town, this type descends from the urban house of French inspiration and can be read as a simplified version of the Québécois neoclassical house. It spread widely at Québec through faubourgs such as Saint-Roch, Saint-Sauveur and Saint-Jean-Baptiste, which grew under demographic pressure from the middle of the 18th century. It is a single-family dwelling, simple and rudimentary, built until the end of the 19th century by artisans, by workers, or by the owner himself. Following the great fires or the densification of the faubourgs, these houses were often rebuilt, enlarged, raised by one or two storeys, given dormers, or capped with a mansard roof that gave more space under the attic.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.boomtown,quebec,Québec City,p5,1875 – 1930,"Industrial vernacular — Boomtown, plex, cubique",Boomtown house and shop-house,Boomtown,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=502","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",boomtown-false-front,boomtown; vernaculaire-industriel,,mixed,1–2,flat-or-low-slope,0,vertical,wood-clapboard; clay-brick; wood-shingle; asbestos-cement-shingle; metal,membrane,,,,,,,"Principally associated with urban residential architecture — housing workers' families, for instance — but also referring to commercial architecture. | The balloon frame arrived from the United States and coincided with the rapid growth of the cities and their demographic surge; the type appeared after the Long Depression (1873–1896) and carried on into the first decades of the 20th century.","Composition: a search for symmetry; single-family house, duplex. | One to two occupied levels (one to two storeys); ground floor in commercial or residential use. | Flat roof (basin or internal drainage); membrane covering. Low-pitch flat roof (external drainage); very low pitch, under 15°; straight two-slope roof; low pitch, under 30°; asphalt shingle, membrane, profiled or traditional sheet-metal covering. | Projections sheltered by an awning: balcony, gallery and perron. | The economy of means dictates a simple plan, a balloon frame, an inexpensive cladding and a stripped-down decoration. | At first a low-pitch roof draining to the rear, reaching 15 degrees, then the flat roof drained internally and covered in tar or membrane and gravel.","Ornaments: finials, cornice, crowning, mast, parapet and corner boards. | As the roof is no longer visible, its presence is marked by ornamental work such as the cornice or the parapet. | For Boomtown shops, the cornice or parapet is used to give the volume of the construction some standing.","Commercial shopfronts. | The gallery often runs across the whole of the principal façade, with a balcony at the upper storey.","Walls: wood board cladding; balloon frame. Side walls: wood shingle, asbestos shingle, sheet tin or brick paper cladding. | Sometimes clad in brick, often built of wood.",,,verified,,502,,Vernaculaire industriel,,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=502,"Cheap, fast and light: a balloon frame, a simple plan, boards on the front and whatever came to hand down the sides, under a roof that slopes gently back or lies flat. Because the roof cannot be seen, the whole architectural argument is moved to the cornice and the parapet at the top of the wall.","Industrialisation brought new economical ways of building that sped the work up considerably. The balloon frame, which came from the United States and was then introduced into Canada, coincided with the rapid growth of the cities and their demographic surge. Called American Boomtown, the buildings using this lighter frame of sawn timber appeared above all in the architecture developed after the Long Depression (1873–1896) and carried on into the first decades of the 20th century. They are easy to build: the economy of means dictates a simple plan, a balloon frame, an inexpensive cladding and a stripped-down decoration.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.maison-cubique,quebec,Québec City,p5,1875 – 1930,"Industrial vernacular — Boomtown, plex, cubique",Cubic house (Four Square),Maison cubique,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=504","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",foursquare-hipped-2st,foursquare,,single-family,2–2.5,hipped-or-pyramidal,25,vertical,clay-brick; wood-clapboard; wood-shingle; asbestos-cement-shingle,sheet-metal-traditional,,,,,,,"Built above all during the first half of the 20th century, it is found in the quarters and suburbs of Québec and is strictly associated with residential architecture. | Though a single-family house to begin with, more than one dwelling may be found in it.","Composition: a search for symmetry; single-family house which may be converted into a multi-unit one. | Generally square plan; imposing volume. | Two to three occupied levels (two to two and a half storeys). | Roof generally straight four-slope or truncated four-slope; low pitch, under 30°; low-pitch flat roof (external drainage); very low pitch, under 15°; asphalt shingle, membrane, profiled or traditional sheet-metal covering. Flat roof (basin or internal drainage); membrane covering. | Projections sheltered by an awning: balcony, gallery wrapping or not, and perron; secondary bodies: annexe, summer kitchen, porch and veranda. | Two variants: a first covered with a flat roof and another, commoner, capped with a low-pitched four-slope roof, occasionally surmounted by a rooftop terrace, with an inhabited attic lit by dormers.","Ornaments: brackets, finials, cornices, crowning, pediments, lambrequins and corner boards. | The ornament varies with the taste and the means of the owner.","Arched openings, usually segmental, fitted with arches, chambranles and keystones. | Compound casements with transom, paired sashes or compound sashes; dormers present or not. | The openings are regularly distributed and the windows are casements with large panes, casements with transoms, or sashes. | Hipped, gabled, triangular or shed dormers.","Walls: brick, wood board, wood shingle or asbestos shingle cladding. | Traditional sheet metal on the four-slope roof.",,,verified,,504,,Vernaculaire industriel,,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=504,"A square plan, square elevations and two or three levels — a lot of house for the footprint, which is exactly what the American catalogues sold it on. The common version has a low four-slope roof with dormers in an inhabited attic; the other is simply flat-topped.","Devised in the United States by the architect Frank Kidder in 1891, the cubic house (Four Square House) was abundantly circulated in architectural catalogues, which made much of the size of its living space. The plan and elevations of square appearance, and the two or three occupied levels, do give this house an imposing volume. Built above all during the first half of the 20th century, it is found in the quarters and suburbs of Québec and is strictly associated with residential architecture. Though a single-family house to begin with, more than one dwelling may be found in it.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.maison-de-faubourg-toit-plat,quebec,Québec City,p5,1875 – 1930,"Industrial vernacular — Boomtown, plex, cubique",Flat-roofed faubourg house,Maison de faubourg à toit plat,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=501","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",faubourg-house-flat-roof,vernaculaire-industriel; boomtown,,mixed,2–3,flat,0,vertical,clay-brick,membrane,,,,,,,"Aligned on the pavement; occupies the full width of the lot, hence party walls and a porte cochère. | Transformed the built landscape of the faubourg quarters at the turn of the 20th century, favouring densification.","Composition: multi-unit house, party-wall, adapted to the urban milieu and densifying the fabric. | Two to three occupied levels. | Flat roof (basin, internal drainage) with membrane covering; or low-pitch flat roof draining to the rear (external drainage), under 15°, in asphalt shingle, membrane, profiled or traditional sheet metal. | Few projections apart from logettes and oriels at the upper floors.","Ornament concentrated at the crown: parapet, or a worked cornice in sheet metal or wood; bandeaux, decorative brick, consoles, corbels, planches cornières. | The tinsmith-roofers of the period had to reinvent their decorative work, having lost much of their market to flat roofs covered in tar or membrane and gravel.","Arched openings, usually segmental, with arches, chambranles and keystones. | Single- or double-leaf door, and a single- or double-leaf porte cochère with or without a wicket, surmounted by a transom. | Openings distributed fairly regularly from one level to the next; window models vary; frequently surmounted by transoms.","Principal façade in brick. | Side walls: wood board, asbestos-cement shingle or sheet tin.",,,verified,SP-VQ,501,,Vernaculaire industriel,Saint-Roch; Saint-Sauveur; Saint-Jean-Baptiste,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=501,"The house that replaced the faubourg's gables. Brick to the street, cheap sheet metal down the sides, filling its lot from party wall to party wall with a carriage arch punched through it, and all its display saved for the parapet — the last thing the tinsmiths had left to decorate.","A turn-of-the-century densification type that gradually replaced the two-slope and broken-roof houses of Saint-Roch, Saint-Sauveur and Saint-Jean-Baptiste, and converted single-family ones into flats. Its architectural simplicity made it compatible with mixed commercial and residential use.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
quebec.cottage-vernaculaire-industriel,quebec,Québec City,p5,1875 – 1930,"Industrial vernacular — Boomtown, plex, cubique",Industrial-vernacular cottage,Cottage vernaculaire industriel,"Ville de Québec, Thésaurus du patrimoine bâti, fiche tid=505","Ville de Québec, Thésaurus du patrimoine bâti (fiches de styles architecturaux), consulté 2026-08-16",industrial-vernacular-cottage,vernaculaire-industriel,,single-family,1.5–2.5,gabled,38,vertical,wood-clapboard; wood-shingle; asbestos-cement-shingle; clay-brick; concrete-block; artificial-stone,asphalt-shingle-dark,,,,,,,"Associated with residential architecture in rural or urban settings; the commonest type in the first half of the 20th century at Québec. | Popularised through pattern books, which supplied standard plans and architectural components alike.","Composition drawn from the classical revival or from the historical influences: a search for symmetry; single-family house; a type taking in several variants including the colonisation house, the gable-fronted house, the central-dormer house and the storeyed house. | Rectangular, L-shaped or T-shaped plan. | One to three occupied levels (one and a half to two and a half storeys). | Straight two-slope roof, or straight two-slope with half-hips; low pitch, under 30°, or medium, between 30° and 45°. | Projections sheltered by an awning: balcony, gallery wrapping or not, and perron; secondary bodies: annexe, summer kitchen, porch and veranda. | It is distinguished from the traditional Québécois house by a volume rising over one, two or three levels, giving the building more verticality, and by a straight two-slope roof without curved eaves.","Ornaments: brackets, cornices, pediments, cut-out woodwork, lambrequins, corner boards and cornice returns.",Diamond windows in the gable walls; dormers present or not.,"Walls: brick paper, pressed tin, concrete block or artificial masonry cladding, but generally wood board, wood shingle or asbestos shingle. | Asphalt shingle, cedar shingle, profiled or traditional sheet-metal roof covering. | Wood frame.",,,verified,,505,,Vernaculaire industriel,,,False,True,https://www.ville.quebec.qc.ca/citoyens/patrimoine/bati/thesaurus.aspx?tid=505,"The workers' cottage of the industrial era, ordered out of a pattern book: a rectangle, an L or a T under a straight two-slope roof with no bell-cast to the eaves, taller and more vertical than the traditional Québécois house it replaced, and clad in whatever was cheapest that year.","The vernacular cottage was popularised through pattern books, in which standard plans and architectural components were available. Arising out of the industrial period that began a little after the middle of the 19th century in Québec, it is strongly marked by standardisation, and the building of this single-family house is at once quick, simple and inexpensive. The American vernacular cottage is the commonest type in the first half of the 20th century at Québec, drawing on various styles, particularly those of the classical revival or the historical influences.",,"Illustration : Charles-Étienne Brochu, 2022 — © Ville de Québec"
