IDENTIFIANT_BATIMENT,NOM_HISTORIQUE ,TYPOLOGIE_SPECIFIQUE,CIVIQUE_MIN,CIVIQUE,TYPE_DE_VOIE,CIVIQUE_MAX,LIEN,VOIE,EST_OUEST,ARRONDISSEMENT,HISTORIQUE_SOMMAIRE ,DEBUT_DES_TRAVAUX,FIN_DES_TRAVAUX,CENTRO_X,CENTRO_Y
0040-23-1979-00,Édifice de la Montreal Street Railway,non applicable,750,750,côte,750,de la,Place-d'Armes,,Ville-Marie (Montréal),"La construction de l'édifice de la Montreal Street Railway s'échelonne sur près de trois ans, entre le printemps 1893 et la fin de 1895. La Montreal Street Railway Company acquiert d'abord le terrain en mars 1893 de l'homme d'affaires George B. Burland. On retrouve alors sur cette propriété un immeuble de trois étages qu'occupe le rembourreur R. N. Tombyll depuis 20 ans. La compagnie fait démolir ce bâtiment peu après et elle embauche les architectes John William Hopkins et Edward C. Hopkins pour la construction de leur siège social. Ces derniers conçoivent un immeuble de bureaux de six étages avec une structure d'acier, l'un des premiers du genre au Canada. Le bâtiment est presque complété quand, le 9 novembre 1894, le toit et les planchers s'effondrent. Bilan de la catastrophe : trois morts et quelques blessés. Dès lors, le chantier passe sous la direction de l'architecte américain George B. Post. L'immeuble est finalement terminé à la fin de l'année 1895.

La Montreal Street Railway Company occupe à l'origine les deux premiers étages de l'édifice, tandis qu'une cinquantaine de locataires se partagent les autres étages. En 1911, la Montreal Street Railway Company est intégrée dans un nouvelle compagnie qui englobe toutes les entreprises de transport urbain à Montréal : la Montreal Tramways Company. Celle-ci acquiert l'immeuble et l'occupe en entier. En 1922, la compagnie engage la firme d'architectes Hutchison and Wood afin d'ajouter deux étages au bâtiment.

En 1929, la Montreal Tramways Company déménage dans son nouveau siège social de la rue Saint-Antoine. Elle vend alors l'édifice à la fiducie Royal Trust, le propriétaire de l'édifice situé juste à l'arrière (rue Saint-Jacques). Une passerelle est rapidement aménagée entre les deux immeubles, permettant ainsi à la fiducie d'agrandir ses locaux. En 1959, la Royal Trust vend l'édifice, lequel devient ensuite un immeuble strictement locatif.",1893,1895,-73.5582,45.5053
0040-23-2008-01,Banque de Montréal,non applicable,119,119,rue,119,,Saint-Jacques,,Ville-Marie (Montréal),"Fondée en 1817, la Banque de Montréal - la première banque canadienne - connaît une telle croissance de son chiffre d'affaires qu'elle doit quitter son premier immeuble de la rue Saint-Jacques, occupé depuis 1819, après seulement 25 ans . En 1845, la banque achète un terrain, alors utilisé comme cimetière, ainsi qu'un immeuble appartenant à la fabrique de la paroisse Notre-Dame et qui loge des bureaux, du côté nord-ouest de la place d'Armes. 

La Banque engage l'architecte John Wells pour concevoir son nouveau siège social. Le néoclassicisme déjà dominant à Montréal depuis quelques décennies atteindra ici un sommet, avec un bâtiment qui rappelle un temple de la puissante république romaine de l'Antiquité. Le bâtiment en imposera avec une colonnade colossale surmontée d'un fronton triangulaire et avec un dôme qui coiffe un toit à quatre versants coiffés. La Banque déménage dans son nouvel immeuble en novembre 1847, face à la place d'Armes réaménagée en square la même année. 

En 1859, on constate une détérioration du dôme qui a même causé des dommages au second étage. Devant le danger d'un accident plus grave, le dôme est enlevé et le niveau supérieur est complètement refait, ce qui fournit l'occasion d'ajouter un étage en attique, que l'on recouvre simplement d'un toit plat. Un autre agrandissement réalisé en 1885 et 1886 étire la partie arrière de l'édifice jusqu'à la ruelle des Fortifications. Au début du XXe siècle, alors que la Banque a acquis une stature internationale, elle fait presque entièrement reconstruire son siège social, en conservant toutefois la façade et le portique de l'édifice d'origine. Elle confie le projet à la très prestigieuse firme d'architectes américains McKim, Mead and White. La superficie intérieure est alors doublée. Le grand hall bancaire que l'on connaît aujourd'hui date de cette époque, de mème que le dôme actuel et la façade arrière de la rue Saint-Antoine. 

Cet édifice imposant et de grand style peut être considéré comme le prototype d'une tradition de classicisme dans l'architecture des édifices bancaires à Montréal et au Canada.

La Banque de Montréal occupe l'immeuble encore aujourd'hui.",1845,1847,-73.5583,45.505
0040-23-2008-02,Édifice du Siège-social-de-la-Banque-de-Montréal,gratte-ciel,129,129-155,rue,155,,Saint-Jacques,,Ville-Marie (Montréal),,1958,1960,-73.5585,45.5046
0040-23-4757-00,Édifice du Royal Trust,gratte-ciel,105,105-107,rue,107,,Saint-Jacques,,Ville-Marie (Montréal),"En 1908, la fiducie du Royal Trust fait l’acquisition auprès de la Alliance Assurance Company d’un emplacement sur lequel on retrouve alors l’Imperial Building, un immeuble construit en 1889 qui avait lui-même remplacé un bâtiment dont la construction remontait à 1846 (la City Bank). Pour la Royal Trust, le choix du site est stratégique, l’entreprise disposant de solides liens avec la Banque de Montréal, son voisin immédiat. En 1912, l’Imperial Building a à peine 20 ans, mais sa démolition et la construction du nouvel édifice sont aux yeux de nombreux observateurs de l’époque le symbole de la prospérité montréalaise. On fait appel aux architectes McKim, Mead et White — une prestigieuse firme d’architectes de New York — ainsi qu’à Ernest Barott de Montréal pour la conception du nouvel immeuble de bureaux de huit étages. La construction est terminée en 1913.

Dès le départ, les loyers exigés amènent des locataires fortunés. Des étages complets sont alors monopolisés par une seule firme : la Royal Trust occupe le rez-de-chaussée, la Banque de Montréal, le troisième étage, la Dominion Glass, le quatrième. Les autres espaces disponibles sont loués à des avocats et autres professionnels. Cependant, la Royal Trust s’approprie rapidement l’espace locatif. Avant qu’il ne quitte, à la fin des années 1960, pour s’installer sur le boulevard Dorchester (aujourd’hui boul. René-Lévesque), la Royal Trust occupe presque totalement l’immeuble. Dans les années qui suivent, la Banque de Montréal, qui devient propriétaire en 1983, occupe la majeure partie de l’édifice et un lien intérieur est créé entre les deux immeubles. 
",1912,1913,-73.5578,45.5051
9842-43-4020-01,Appartements Ville-Marie,indéterminée,4360,4360,rue,4360,,Saint-Denis,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.581012,45.522800
9742-87-1306-01,École nationale de Théâtre du Canada,indéterminée,5030,5030,rue,5030,,Saint-Denis,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.588896,45.526315
9742-64-4126-01,Église Saint-Enfant-Jésus du Mile-End,Édifice de culte,5037,5039,rue,5043,,Saint-Dominique,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.591187,45.523483
9941-59-2363-01,3425-3427 rue Saint-Hubert ,indéterminée,3425,3425-3427,rue,3427,,Saint-Hubert,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.567157,45.519522
9942-11-9079-01,3827-3829 rue Saint-Hubert ,indéterminée,3827,3827-3829,rue,3829,,Saint-Hubert,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.571491,45.521491
9942-02-0426-01,3960 rue Saint-Hubert ,indéterminée,3960,3960,rue,3960,,Saint-Hubert,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.573757,45.521958
9742-64-7515-01,Providence Saint-Enfant-Jésus,indéterminée,59,95,boulevard,95,,Saint-Joseph,Est,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.590633,45.523431
9742-64-7515-02,Résidence Saint-Dominique,indéterminée,95,95,boulevard,95,,Saint-Joseph,Est,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.590726,45.523511
9742-73-4087-01,École de l'Enfant Jésus,indéterminée,100,102,boulevard,102,,Saint-Joseph,Est,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.590083,45.523341
9742-74-2484-01,CLSC Saint-Louis du Parc,indéterminée,155,155,boulevard,157,,Saint-Joseph,Est,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.590110,45.524210
0040-23-6691-00,Édifice de la Life Association of Scotland,non applicable,701,701-711,côte,711,de la,Place-d'Armes,,Ville-Marie (Montréal),"En 1868, John Fraser, directeur de la compagnie d'assurances Scottish Life Association, achète deux lots vacants de la Trust and Loan of Upper Canada. Les bâtiments érigés sur ces prestigieux terrains bordant la Place d'Armes avaient été démolis peu de temps auparavant afin de permettre l'élargissement de la rue Saint-Jacques. Agissant au nom de la compagnie, Fraser mandate les architectes Hopkins & Wily pour la construction d'un immeuble de bureaux. L'édifice de quatre étages, inspiré du style Second Empire, est érigé en 1870. Dès l'origine, les bureaux de la Life Association of Scotland occupent une grande partie de l'immeuble, et ce, jusque dans les années 1890.

En 1891, l'immeuble est acheté par la banque Nationale qui souhaite profiter au maximum du potentiel offert par le site. En 1908, elle acquiert la propriété voisine sur la côte de la Place-d'Armes. L'année suivante, d'importants travaux d'agrandissement, confiés aux architectes Marchand et Haskell, sont entrepris. Deux étages sont ajoutés à l'immeuble qui est aussi agrandi jusqu'à la ruelle des Fortifications. Le tout est effectué dans le respect du modèle original.

En juin 1926, la banque Canadienne Nationale vend l'immeuble à la compagnie d'assurances La Prévoyance qui demeure propriétaire jusqu'en 1959. Principal occupant de l'immeuble, La Prévoyance loue certains espaces, notamment entre 1940 et 1944 alors que la firme de courtage L. G. Beaubien occupe trois étages. En 1975, les façades du Great Scottish Life Insurance sont classées monument historique. À la fin des années 1990, l'édifice est recyclé en hôtel.


",1869,1870,-73.5576,45.5054
0040-24-5438-01,Fonderie Garth,indéterminé,44,44-50,rue,50,,Saint-Antoine,Ouest,Ville-Marie (Montréal),,1904,,-73.5576,45.506
0040-24-5438-02,Fonderie Garth (annexe),indéterminé,54,54,rue,54,,Saint-Antoine,Ouest,Ville-Marie (Montréal),,1906,,-73.5577,45.5059
0040-24-7505-00,Banque du Peuple,gratte-ciel,53,53-57,rue,57,,Saint-Jacques,,Ville-Marie (Montréal),"L'édifice de la Banque du Peuple est construit en 1893-1894 selon les plans de la firme d'architectes Perrault, Mesnard et Venne. En 1893, la Banque du Peuple possède trois bâtiments contigus sur la rue Saint-Jacques, dont son siège social érigé en 1871-1872 (Henri-Maurice Perrault, architecte). Les deux autres, construits en 1869, furent acquis en 1890 auprès d'Alexander Cross. Ces trois immeubles sont démolis au printemps 1893, à l'exception de la façade du siège social de 1871-1872 qu'on intègre à un nouvel immeuble de bureaux de sept étages. À l'intérieur de l'édifice, un puits de lumière éclaire un grand atrium &#8211; une première à Montréal semble-t-il &#8211; entouré de bureaux.

À l'inauguration de l'édifice en 1894, la Banque du Peuple occupe tout le rez-de-chaussée et le sous-sol. Aux étages supérieurs, on retrouve entre autres de nombreux cabinets d'avocats, le consulat de France, les bureaux des architectes de l'édifice (Perrault, Mesnard et Venne) et des études de notaires, dont celle de Victor Morin. 

Contre toute attente, la Banque du Peuple fait faillite dès 1895. Elle vend sa propriété en 1899 à l'homme d'affaires et politicien Gaspard De Serres. Les anciens locaux de la Banque du Peuple logent ensuite la Banque d'Hochelaga jusqu'au milieu des années 1920, période durant laquelle l'édifice porte son nom.  En 1979, un incendie endommage gravement l'édifice, détruisant notamment l'atrium. Dix ans plus tard, on restaure la façade &#8211; classée monument historique en 1975 &#8211; et on rénove complètement l'intérieur.",1893,1894,-73.5575,45.5056
0040-24-8523-00,Édifice Alexander-Cross,indéterminé,43,43-51,rue,51,,Saint-Jacques,,Ville-Marie (Montréal),"L'avocat Alexander Cross acquiert en 1867 et 1868 trois lots contigus sur la rue Saint-Jacques. Ces lots sont vacants, car la Ville de Montréal a exproprié les deux édifices s'y trouvant afin d'élargir la Petite rue Saint-Jacques, dont l'immeuble où Alexander Cross avait son cabinet d'avocat. En lieu et place de ces bâtiments, Cross fait construire en 1869 un édifice multifonctionnel beaucoup plus imposant. Aux locataires de la première année, un encanteur et un grossiste en bijoux, s'ajoutent dans les années subséquentes divers occupants, dont une association orangiste loyaliste et le mess des Fusiliers du Prince de Galles. 

Vers les années 1880, le profil des locataires varie et de plus en plus de professionnels y louent des espaces. En 1885 et 1892 ou 1893, deux incendies causent des dégâts à l'immeuble. Dès la fin du XIXe siècle, un restaurant s'installe au rez-de-chaussée. Ce type d'activité commerciale sera présent dans l'immeuble durant tout le XXe siècle. Aux étages supérieurs, plusieurs professionnels du début du siècle sont peu à peu remplacés par des commerçants et des grossistes. 

La succession d'Alexander Cross vend l'immeuble en 1929 à Maxwell Cummings, courtier en valeurs mobilières, lequel demeure propriétaire jusqu'en 1977. C'est probablement pendant cette période que la mansarde est modifiée, à tout le moins avant le classement de la façade par le ministère de la Culture en 1976. 




",1869,,-73.5573,45.5057
9742-20-6217-01,Regent Theatre,Théâtre / auditorium / cinéma,5117,5117,avenue,5117,du,Parc,,Le Plateau-Mont-Royal (Montréal),,1915,0,-73.596061,45.520044
9642-90-8198-01,5300 avenue Parc ,indéterminée,5300,5300,avenue,5308,du,Parc,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.599541,45.520699
9642-90-8198-02,5308 avenue Parc ,indéterminée,5300,5308,avenue,5308,du,Parc,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.599783,45.520795
9642-91-2036-01,5352 avenue Parc ,indéterminée,5352,5352,avenue,5352,du,Parc,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.600440,45.521105
9642-63-3684-01,5677 avenue Parc ,indéterminée,5675,5677,avenue,5679,du,Parc,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.604217,45.523366
9642-54-8417-01,Cinéma Rialto,Théâtre / auditorium / cinéma,5711,5711-5723,avenue,5723,du,Parc,,Le Plateau-Mont-Royal (Montréal),,1923,0,-73.604747,45.523634
9642-35-1917-01,5944-5946 avenue Parc ,indéterminée,5944,5944-5946,avenue,5956,du,Parc,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.608170,45.524523
9843-78-9555-01,2001-2017 rue Gilford ,indéterminée,2015,2001-2017,rue,2017,,Gilford,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.576463,45.536565
9840-99-1096-01,Église luthérienne Saint-Jean,Édifice de culte,3594,3594,rue,3594,,Jeanne-Mance,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.575017,45.510856
9742-88-7459-01,Église Saint-Denis,Édifice de culte,454,454,avenue,454,,Laurier,Est,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.588363,45.527706
9742-88-7459-02,Presbytère Saint-Denis,Édifice religieux,454,454,avenue,454,,Laurier,Est,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.588707,45.527482
9742-43-8044-01,Hôtel de ville de Saint-Louis du Mile-End,Hôtel de ville,1,1-5,avenue,5,,Laurier,Ouest,Le Plateau-Mont-Royal (Montréal),,1904,1905,-73.593214,45.523022
9741-29-4961-01,Banque royale,Banque,351,351-359,avenue,359,,Laurier,Ouest,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.596175,45.519582
9941-35-1223-01,3470-3476 avenue Laval ,indéterminée,3468,3470-3476,avenue,3476,,Laval,,Le Plateau-Mont-Royal (Montréal),,NULL,NULL,-73.569774,45.515629
0040-24-8997-00,Édifice La Presse,non applicable,750,750,boulevard,750,,Saint-Laurent,,Ville-Marie (Montréal),"En 1955,  La Presse, le plus grand quotidien de langue française en Amérique,  s’apprête à entrer dans une ère moderne d’automatisation de sa production grâce à la construction d’un nouvel édifice. Celui-ci sera situé sur la rue Saint-Laurent, entre la rue Saint-Antoine - la rue Craig de l’époque - et la ruelle des Fortifications. Pour réaliser ce projet, il faut démolir de nombreux bâtiments existant sur ce site, sans compter les vestiges des anciennes fortifications que l’on découvre lors des travaux d’excavation. 

L’architecte Jacques M. Morin prévoit  terminer les travaux en 1958, mais des problèmes techniques imprévus viennent causer des retards d’un an dans l’échéancier. En effet, on découvre que le futur édifice reposera sur le lit de la rivière Saint-Martin, située sous la rue Saint-Antoine. Le roc sur lequel l’édifice peut s’ancrer se trouve 60 pieds plus bas.  Les ingénieurs-conseils Surveyer, Nenninger et Chênevert doivent donc travailler à rendre étanches les fondations qui, de plus, devront supporter les vibrations des presses rotatives installées au niveau de la rue Saint-Antoine. Cet ancrage se fait à l’aide de 265 pieux accrochés au roc et, pour la première fois au Canada, une membrane étanche I.C .O.S.-Veber est utilisée pour protéger les fondations des effets destructeurs de la rivière souterraine.  Quelques années plus tard, on utilisera cette même technologie pour le Palais de justice situé de l’autre côté de la rue Saint-Laurent.

En octobre 1958, alors que le nouvel édifice est presque terminé, une grève éclair des journalistes secoue l’entreprise pendant 13 jours. Madame Angélina Berthiaume-Du Tremblay est alors propriétaire du journal.  Au moment où la grève prend fin, elle nomme Jean-Louis Gagnon chef de la rédaction.  Celui-ci amorce alors un renouveau dans l’orientation journalistique du quotidien. La première action du nouveau rédacteur en chef sera de travailler à une nouvelle page éditoriale.  Au même moment, il renouvelle l’image du journal en rafraîchissant la mise en page.  De plus, la façon d’aborder l’information change : la une traite maintenant en priorité des nouvelles régionales et locales plutôt que les nouvelles internationales.   Une typographie plus aérée, des articles signés, un caricaturiste régulier et l’introduction d’une tribune libre complètent ces changements.  

L’équipe de journalistes de Jean-Louis Gagnon prend possession des locaux avec enthousiasme en octobre 1959. L’aménagement intérieur souligne l’importance que l’on accorde à la &laquo; nouvelle &raquo;. L’immense salle de rédaction de 75 pupitres, les chambres noires et les bureaux des chefs de service de la rédaction accueillent le personnel relié à l’information.  Le 2e étage est réservé à la mise en page, caractères, linotypes et rangées de marbres.  Les machines rotatives à haute vitesse fournissent un débit de 100 000 exemplaires à l’heure. Dans les entrepôts souterrains, on emmagasine les rouleaux de papier-journal. 

À la structure de béton et aux deux cages d’escalier en granit et calcaire de l’Indiana du nouvel édifice vient s’accrocher un rideau de verre retenu par des moulures d’aluminium.   Au niveau de la rue Saint-Antoine, les larges baies inclinées vers l’intérieur permettent d’éviter la réflexion du soleil à ceux qui s’arrêtent pour observer le travail de la rotative ultra-rapide.  Elles alternent avec des montants en granit bleu minuit de Rivière-à-Pierre, sans compter que des blocs de granit gris de Saint-Sébastien servent de seuil pour ces mêmes vitrines.  Au moment où ce nouvel édifice est construit, il présente la plus grande surface vitrée à Montréal. Une passerelle au-dessus de la ruelle des Fortifications relie l’ancien bâtiment au nouveau. 

En 1959, la construction de cet édifice marque une évolution radicale dans la production du journal en plus de projeter une image moderne de l’entreprise.  Mais tout aussi importante que les transformations physiques, la nouvelle approche journalistique annonce des changements de mentalité qui bientôt amorceront la révolution tranquille.
",1958,1959,-73.5573,45.5064
0040-24-9642-01,Immeuble de la Caisse nationale d'économie I,non applicable,41,41,rue,41,,Saint-Jacques,,Ville-Marie (Montréal),,1938,1939,-73.5572,45.5058
0040-24-9642-02,Immeuble de la Caisse nationale d'économie II,indéterminé,33,33-35,rue,35,,Saint-Jacques,,Ville-Marie (Montréal),,1958,1959,-73.5572,45.5059
0040-30-0671-00,Immeuble Clegg,non applicable,455,455,rue,455,,Saint-Jean,,Ville-Marie (Montréal),"En 1903, la firme de courtiers d’assurances James J. Riley & Sons engage l’agence d’architectes Finley and Spence pour la construction d’un immeuble de deux étages. L’immeuble est vendu en 1949 à la Kerr Steamship Limited, une société maritime américaine dont le président est Alfred Clegg. La façade est alors totalement refaite, si bien que l’immeuble possède dorénavant les apparences d’un bâtiment de la fin des années 1940. En 1956, on y ajoute un étage. La Kerr Steamships Limited se départit de l’immeuble en 1977.",1949,,-73.5571,45.5026
0040-30-1663-00,Immeuble Robert Hampson & Son,non applicable,451,451,rue,451,,Saint-Jean,,Ville-Marie (Montréal),"Cet immeuble de bureaux est construit en 1926-1927. Robert Hampson, président de la Robert Hampson & Son, une compagnie d’agents d’assurances fondée en 1864, achète d’abord cette propriété en 1907. L’entreprise quitte l’édifice du Corn Exchange et s’installe dans le bâtiment de trois étages qui occupe l’emplacement. Pour répondre aux besoins de la compagnie, l’agence d’architectes Hutchison and Wood apporte alors des modifications à ce bâtiment. En 1926, il est démoli pour faire place à un nouvel immeuble Art déco. Encore une fois, l’agence d’architectes Hutchison and Wood en dessine les plans. 

La Robert Hampson & Son Limited, qui représente surtout des compagnies d’assurances américaines, occupe l’immeuble jusqu’en 1960. Ce dernier a été restauré en 1982 et sert encore d’immeuble de bureaux en 2005.",1926,,-73.557,45.5025
0040-30-2107-00,Édifice du Montreal Board of Trade,non applicable,300,300,rue,300,du,Saint-Sacrement,,Ville-Marie (Montréal),"L’édifice du Board of Trade est construit en 1902-1903. Son histoire remonte cependant au début des années 1890 lorsque le Montreal Board of Trade acquiert le terrain sur lequel est érigé l’édifice actuel. L’association d’hommes d’affaires lance alors un concours d’architecture remporté par l’agence d’architectes bostonnienne Shepley, Rutan and Coolidge. En 1892-1893, le premier édifice du Board of Trade est érigé.

Le 23 janvier 1901, un énorme incendie frappe le quartier Ouest du Vieux-Montréal. L’édifice du Board of Trade est complètement détruit. Peu de temps après, on engage l’architecte David R. Brown afin d’ériger un second édifice. Les travaux se déroulent entre les printemps 1902 et 1903. Le nouvel édifice épouse à peu près les mêmes proportions que le précédent &#8211; on utilise les mêmes fondations &#8211;, mais son architecture est mise au goût du jour : l’influence du style Beaux-Arts y est bien perceptible.

L’immeuble de bureaux loge dès 1903 le Board of Trade, qui y occupe un espace modeste, et environ une centaine de locataires, essentiellement des professionnels et des bureaux d’entreprises. Le Board of Trade demeure dans l’édifice jusqu’en 1967, mais en conserve la propriété jusqu’en 1983. En 2005, l’édifice héberge toujours de nombreux locataires.",1902,1903,-73.5569,45.502
0040-30-2178-00,Immeuble Walter-Benny,indéterminé,239,239,rue,239,du,Saint-Sacrement,,Ville-Marie (Montréal),"Le maître boulanger Walter Benny fait construire cet immeuble en 1834-1835. Benny acquiert en décembre 1833 l’emplacement avec une maison, une boutique et ses dépendances, la maison donnant sur la rue du Saint-Sacrement devant être enlevée par l’ancien propriétaire. Lorsque Benny loue l’emplacement en novembre 1835 pour le mois de mai suivant, il y a fait bâtir un nouvel immeuble en pierre de trois étages, incluant le rez-de-chaussée. Les épiciers de gros George D. Watson et John Black occupent les lieux jusqu’en 1847. Un autre épicier de gros, des commissaires-priseurs et des marchands leur succèdent. Possédant au départ une double vocation commerciale et résidentielle, comme le démontre le rôle foncier de 1849, l’immeuble ne sert plus qu’au commerce dès 1855.  

Walter Benny décède en décembre 1870 et sa succession demeure en possession du bâtiment pendant plus d’un siècle. L’immeuble est occupé par des marchands de vin au cours des décennies 1870 à 1890. Au tournant du siècle, il sert de bureaux à des agents et des importateurs et est aussi utilisé à des fins d’entreposage. L’entreprise Provincial Cotton & Fibre Company Limited, spécialisée dans la vente de textiles et de cordages, et la compagnie Canvas Equipment Limited, oeuvrant dans le commerce de la toile, marquent par la suite l’histoire du bâtiment pendant plus de soixante ans. Entre-temps, vers 1955, ce dernier est rehaussé d’un étage et est coiffé d’un toit plat. 

À la fin des années 1990, l’immeuble fait l’objet d’importants travaux de rénovation : les dépendances à l’arrière sont rehaussées de deux étages, intégrées au bâtiment principal et l’ensemble est recyclé en logements en copropriété.",1834,1835,-73.5569,45.5026
0040-30-7651-00,Immeuble John Lovell & Son,non applicable,423,423,rue,423,,Saint-Nicolas,,Ville-Marie (Montréal),"John Lovell, un des plus importants imprimeur et éditeur au Canada, fait construire cet immeuble en 1884. Depuis 1845, Lovell est propriétaire de l’emplacement de la rue Saint-Nicolas et y mène ses activités commerciales. Vers le début de l’année 1884, un incendie détruit les bâtiments qui s’y trouvent. On construit alors un nouvel immeuble pour loger la John Lovell & Son, une entreprise qui, comme les précédentes entreprises de Lovell, imprime un nombre impressionnant de publications comprenant entre autres des manuels scolaires, des périodiques littéraires et des bottins. 

Au milieu des années 2000, plus de 150 ans après l’achat de la propriété, le bâtiment de la rue Saint-Nicolas abrite toujours la compagnie fondée par John Lovell. La Lovell Litho & Publication Inc. y imprime entre autres les annuaires Lovell, une publication annuelle publiée sans interruption depuis les années 1840.",1884,,-73.5562,45.5024
0040-30-7797-00,Immeuble Joseph-Knapp,non applicable,212,212-214,rue,214,du,Saint-Sacrement,,Ville-Marie (Montréal),,1854,,-73.5562,45.5028
0040-30-9270-01,"420, rue  Saint-Éloi I",indéterminé,420,420,rue,420,,Saint-Éloi,,Ville-Marie (Montréal),NULL,1825,,-73.5559,45.5025
0040-30-9270-02,"420, rue Saint-Éloi II",indéterminé,420,420,rue,420,,Saint-Éloi,,Ville-Marie (Montréal),NULL,1825,,-73.556,45.5026
0040-30-9853-00,Magasin-entrepôt Edwin-Atwater [1864],magasin-entrepôt,417,417,rue,417,,Saint-Nicolas,,Ville-Marie (Montréal),NULL,1864,,-73.556,45.5023
0040-31-0291-00,Édifice James-Fairie,non applicable,480,480,rue,480,,Saint-François-Xavier,,Ville-Marie (Montréal),,1869,,-73.5571,45.5036
0040-31-1929-00,Magasin-entrepôt Henry-Judah,magasin-entrepôt,222,222,rue,222,de l',Hôpital,,Ville-Marie (Montréal),,1864,,-73.5569,45.5031
0040-31-2713-01,Maison Silvain-Laurent dit Bérichon,maison urbaine façon Nouvelle-France,221,221,rue,221,du,Saint-Sacrement,,Ville-Marie (Montréal),,1810,1811,-73.5566,45.5028
0040-31-2713-02,NULL,indéterminé,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ville-Marie (Montréal),NULL,1947,,-73.5567,45.5029
0040-31-4347-00,Édifice du C. P. R. Telegraph,gratte-ciel,204,204,rue,204,de l',Hôpital,,Ville-Marie (Montréal),"En 1900-1901, la compagnie ferroviaire Canadien Pacifique fait construire ce gratte-ciel afin de loger entre autres certaines de ses divisions, notamment son service de télégraphie. En mai 1900, deux membres de la haute direction de l’entreprise, le nouveau président Thomas Shaughnessy et Richard B. Angus, font l’acquisition de deux propriétés sur la rue de l’Hôpital. La première appartenait à George-Casimir Dessaulles, ancien maire de Saint-Hyacinthe pendant près de 25 ans, la seconde à la succession John James Arnton. Au début de l’été 1900, on démoli les bâtiments sur ces terrains et on débute la construction d’un gratte-ciel de huit étages sous la direction de l’agence d’architectes Hutchison and Wood. Il est terminé vers le début du printemps 1901. 

En 1901, plusieurs services du Canadien Pacifique s’installent dans l’édifice. Le C. P. R. Telegraph occupe à lui seul une bonne partie du rez-de-chaussée et du huitième étage. Le Montreal Club, club privé prestigieux d’hommes d’affaires qui occupait auparavant l’immeuble de la succession Arnton,  est un autre locataire important : il occupe tout le septième étage et une partie du huitième étage entre 1901 et 1912. Quant aux espaces de bureaux, ils attirent des courtiers, mais surtout des entreprises comme la Laurentide Paper Company, présidée par William Van Horne, ou la Lake of the Woods Milling Co. 

Angus et Shaughnessy cèdent les titres de propriété en 1922 au Canadien Pacifique, lequel occupe l’édifice jusqu’à sa vente en 1980. Des promoteurs lancent alors un projet d’envergure : la transformation du gratte-ciel en copropriétés. Terminé en 1981, ce projet est l’un des premiers du genre dans le Vieux-Montréal. En 1999-2000, l’édifice a fait l’objet d’importants travaux de restauration.",1900,1901,-73.5566,45.5032
